,Depreciable capital [MM$],Fixed capital investment [MM$],Working capital [MM$],Depreciation [MM$],Loan [MM$],Loan interest payment [MM$],Loan payment [MM$],Loan principal [MM$],Annual operating cost (excluding depreciation) [MM$],Sales [MM$],Tax [MM$],Incentives [MM$],Taxed earnings [MM$],Forwarded losses [MM$],Net earnings [MM$],Cash flow [MM$],Discount factor,Net present value (NPV) [MM$],Cumulative NPV [MM$]
2020,199.74437645130132,213.0606682147214,0.0,0.0,127.83640092883284,10.226912074306627,0.0,127.83640092883284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-95.45117936019518,1.2100000000000002,-115.4959270258362,-115.4959270258362
2021,1498.0828233847596,1597.9550116104106,0.0,0.0,958.7730069662463,76.7018405572997,0.0,1086.6094078950791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-715.8838452014639,1.1,-787.4722297216105,-902.9681567474466
2022,798.9775058052053,852.2426728588856,133.16291763420088,0.0,511.3456037153314,40.90764829722651,0.0,1597.9550116104106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-514.9676350749817,1.0,-514.9676350749817,-1417.9357918224282
2023,0.0,0.0,0.0,312.8587185317387,0.0,127.83640092883284,238.1424183412286,1487.6489941980144,281.1930024835474,1419.083467241192,205.41126475963702,42.27515892170213,586.8893278846773,0.0,423.75322204674245,736.6119405784812,0.9090909090909091,669.6472187077102,-748.2885731147181
2024,0.0,0.0,0.0,539.4754654852784,0.0,119.01191953584117,238.1424183412286,1368.518495392627,296.13954666336775,1621.8096768470766,191.81828622502067,42.27515892170213,548.052246357202,0.0,398.5091190538834,937.9845845391618,0.8264462809917354,775.1938715199684,26.90529840525031
2025,0.0,0.0,0.0,391.6185027008835,0.0,109.48147963141017,238.1424183412286,1239.8575566828083,296.13954666336775,1621.8096768470766,243.56822319955884,42.27515892170213,695.9092091415968,0.0,494.6161448637401,886.2346475646236,0.7513148009015775,665.841207787095,692.7465061923452
2026,0.0,0.0,0.0,285.53595551842096,0.0,99.18860453462469,238.1424183412286,1100.9037428762044,296.13954666336775,1621.8096768470766,280.6971147134208,42.27515892170213,801.9917563240593,0.0,563.5698005323408,849.1057560507617,0.6830134553650705,579.9506564106014,1272.6971626029467
2027,0.0,0.0,0.0,209.55499741011715,0.0,88.07229943009636,238.1424183412286,950.8336239650723,296.13954666336775,1621.8096768470766,307.2904500513271,42.27515892170213,877.9727144323632,0.0,612.9574233027382,822.5124207128554,0.6209213230591549,510.7155005016144,1783.412663104561
2028,0.0,0.801309474440874,0.0,207.5629361338568,0.0,76.06668991720578,238.1424183412286,788.7578955410495,296.13954666336775,1621.8096768470766,307.9876714980182,42.27515892170213,879.9647757086235,0.0,614.2522631323076,821.0138897917235,0.5644739300537772,463.44093699947285,2246.853600104034
2029,0.0,0.0,0.0,206.11608792519036,0.0,63.10063164328396,238.1424183412286,613.7161088431048,296.13954666336775,1621.8096768470766,308.4940683710514,42.27515892170213,881.4116239172898,0.0,615.1927144679406,821.3088023931309,0.5131581182307065,421.46127952237424,2668.314879626408
2030,0.0,0.0,0.0,111.61592912986166,0.0,49.097288707448385,238.1424183412286,424.67097920932457,296.13954666336775,1621.8096768470766,341.5691239494165,42.27515892170213,975.9117827126187,0.0,676.6178176849044,788.2337468147659,0.4665073802097331,367.7168602194585,3036.0317398458665
2031,0.0,0.0,0.0,18.599289844537473,0.0,33.97367833674597,238.1424183412286,220.50223920484197,296.13954666336775,1621.8096768470766,374.12494769927997,42.27515892170213,1068.928421997943,0.0,737.0786332203648,755.6779230649023,0.42409761837248455,320.4812074284907,3356.5129472743574
2032,0.0,0.0,0.0,18.595121469404226,0.0,17.64017913638736,238.1424183412286,7.264316082000732e-13,296.13954666336775,1621.8096768470766,374.1264066305766,42.27515892170213,1068.932590373076,0.0,737.0813426642015,755.6764641336057,0.3855432894295314,291.34598972654766,3647.858937000905
2033,0.0,290.12815501589904,0.0,18.599289844537473,0.0,0.0,0.0,0.0,296.13954666336775,1621.8096768470766,457.47479411871,42.27515892170213,1307.0708403391714,0.0,891.8712051421635,620.342339970802,0.3504938994813922,217.4262057497779,3865.285142750683
2034,0.0,0.0,0.0,18.595121469404226,0.0,0.0,0.0,0.0,296.13954666336775,1621.8096768470766,457.4762530500066,42.27515892170213,1307.0750087143047,0.0,891.8739145860002,910.4690360554044,0.3186308177103565,290.10349345829354,4155.388636208976
2035,0.0,0.0,0.0,18.599289844537473,0.0,0.0,0.0,0.0,296.13954666336775,1621.8096768470766,457.47479411871,0.0,1307.0708403391714,0.0,849.5960462204614,868.1953360649989,0.2896643797366877,251.48526351155303,4406.873899720529
2036,0.0,0.0,0.0,18.595121469404226,0.0,0.0,0.0,0.0,296.13954666336775,1621.8096768470766,457.4762530500066,0.0,1307.0750087143047,0.0,849.5987556642981,868.1938771337022,0.2633312543060797,228.6225826464763,4635.496482367006
2037,0.0,0.0,0.0,18.599289844537473,0.0,0.0,0.0,0.0,296.13954666336775,1621.8096768470766,457.47479411871,0.0,1307.0708403391714,0.0,849.5960462204614,868.1953360649989,0.23939204936916333,207.83906075334957,4843.335543120355
2038,0.0,0.801309474440874,0.0,18.595121469404226,0.0,0.0,0.0,0.0,296.13954666336775,1621.8096768470766,457.4762530500066,0.0,1307.0750087143047,0.0,849.5987556642981,867.3925676592614,0.2176291357901485,188.769894890483,5032.105438010839
2039,0.0,0.0,0.0,18.599289844537473,0.0,0.0,0.0,0.0,296.13954666336775,1621.8096768470766,457.47479411871,0.0,1307.0708403391714,0.0,849.5960462204614,868.1953360649989,0.19784466890013497,171.7678188044211,5203.87325681526
2040,0.0,0.0,0.0,18.595121469404226,0.0,0.0,0.0,0.0,296.13954666336775,1621.8096768470766,457.4762530500066,0.0,1307.0750087143047,0.0,849.5987556642981,868.1938771337022,0.17985878990921358,156.15230014785615,5360.025556963115
2041,0.0,0.0,0.0,18.599289844537473,0.0,0.0,0.0,0.0,296.13954666336775,1621.8096768470766,457.47479411871,0.0,1307.0708403391714,0.0,849.5960462204614,868.1953360649989,0.16350799082655781,141.9568750449761,5501.982432008092
2042,0.0,0.0,0.0,18.595121469404226,0.0,0.0,0.0,0.0,296.13954666336775,1621.8096768470766,457.4762530500066,0.0,1307.0750087143047,0.0,849.5987556642981,868.1938771337022,0.14864362802414344,129.05148772550092,5631.033919733593
2043,0.0,290.12815501589904,0.0,9.299644922268737,0.0,0.0,0.0,0.0,296.13954666336775,1621.8096768470766,460.7296698415041,0.0,1316.3704852614403,0.0,855.6408154199362,574.8123053263058,0.13513057093103947,77.67471499693069,5708.708634730524
2044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.13954666336775,1621.8096768470766,463.9845455642981,0.0,1325.6701301837088,0.0,861.6855846194107,861.6855846194107,0.12284597357367225,105.85460455697044,5814.563239287495
2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.13954666336775,1621.8096768470766,463.9845455642981,0.0,1325.6701301837088,0.0,861.6855846194107,861.6855846194107,0.11167815779424749,96.23145868815494,5910.79469797565
2046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.13954666336775,1621.8096768470766,463.9845455642981,0.0,1325.6701301837088,0.0,861.6855846194107,861.6855846194107,0.10152559799477044,87.48314426195904,5998.277842237609
2047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.13954666336775,1621.8096768470766,463.9845455642981,0.0,1325.6701301837088,0.0,861.6855846194107,861.6855846194107,0.09229599817706402,79.53013114723548,6077.807973384844
2048,0.0,0.801309474440874,0.0,0.0,0.0,0.0,0.0,0.0,296.13954666336775,1621.8096768470766,463.9845455642981,0.0,1325.6701301837088,0.0,861.6855846194107,860.8842751449698,0.08390545288824001,72.23288499040292,6150.040858375248
2049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.13954666336775,1621.8096768470766,463.9845455642981,0.0,1325.6701301837088,0.0,861.6855846194107,861.6855846194107,0.07627768444385455,65.72738111341774,6215.768239488665
2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.13954666336775,1621.8096768470766,463.9845455642981,0.0,1325.6701301837088,0.0,861.6855846194107,861.6855846194107,0.06934334949441322,59.752164648561575,6275.520404137227
2051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.13954666336775,1621.8096768470766,463.9845455642981,0.0,1325.6701301837088,0.0,861.6855846194107,861.6855846194107,0.06303940863128475,54.320149680510525,6329.840553817738
2052,0.0,0.0,-133.16291763420088,0.0,0.0,0.0,0.0,0.0,296.13954666336775,1621.8096768470766,463.9845455642981,0.0,1325.6701301837088,0.0,861.6855846194107,994.8485022536116,0.05730855330116795,57.01332841798821,6386.853882235725
